DEPT,RILD,RILM,GR,FRES,TMP
F,,,,OHMM,DEGF
201.0,1.2727,1.3303,100.69,0.686,64.266
201.5,1.231,1.3007,93.535,0.682,64.268
202.0,1.222,1.2918,92.315,0.679,64.269
202.5,1.2128,1.2916,92.563,0.675,64.271
203.0,1.1988,1.2916,92.588,0.67,64.273
203.5,1.1805,1.2898,88.974,0.666,64.275
204.0,1.1622,1.2794,85.407,0.661,64.276
204.5,1.1439,1.2691,83.092,0.656,64.278
205.0,1.1255,1.256,83.053,0.651,64.28
205.5,1.1173,1.2404,91.876,0.644,64.281
206.0,1.1093,1.2248,99.339,0.634,64.283
206.5,1.1012,1.2092,101.52,0.624,64.285
207.0,1.0933,1.1937,98.785,0.614,64.286
207.5,1.0853,1.1797,93.545,0.604,64.286
208.0,1.0773,1.1742,88.283,0.594,64.283
208.5,1.0698,1.1687,83.005,0.584,64.281
209.0,1.0734,1.1633,80.869,0.573,64.279
209.5,1.0772,1.1578,79.001,0.563,64.277
210.0,1.0811,1.1523,80.64,0.553,64.274
210.5,1.0849,1.1469,80.627,0.543,64.272
211.0,1.0888,1.1414,80.679,0.533,64.27
211.5,1.0926,1.136,84.55,0.523,64.268
212.0,1.0964,1.1305,90.21,0.513,64.266
212.5,1.1039,1.1257,90.962,0.506,64.263
213.0,1.1122,1.1399,81.177,0.498,64.261
213.5,1.1205,1.1547,75.455,0.49,64.259
214.0,1.1288,1.1696,74.955,0.482,64.257
214.5,1.1371,1.1844,77.852,0.474,64.254
215.0,1.1454,1.1993,80.522,0.466,64.252
215.5,1.1538,1.2143,83.178,0.458,64.25
216.0,1.1621,1.2294,85.817,0.45,64.248
216.5,1.1704,1.2258,88.086,0.442,64.245
217.0,1.1787,1.2048,83.695,0.432,64.243
217.5,1.187,1.1839,79.363,0.422,64.241
218.0,1.1953,1.1629,75.372,0.411,64.239
218.5,1.2037,1.1525,71.866,0.401,64.236
219.0,1.2085,1.1526,71.3,0.39,64.234
219.5,1.2085,1.1527,71.985,0.38,64.232
220.0,1.2093,1.1531,73.376,0.37,64.23
220.5,1.235,1.1673,76.109,0.359,64.228
221.0,1.2629,1.2351,81.576,0.351,64.225
221.5,1.2901,1.3027,87.033,0.347,64.223
222.0,1.3199,1.3702,87.319,0.344,64.221
222.5,1.3496,1.4377,86.596,0.34,64.219
223.0,1.3821,1.5109,91.931,0.336,64.216
223.5,1.4307,1.5835,97.863,0.333,64.218
224.0,1.4794,1.6632,103.86,0.329,64.221
224.5,1.5281,1.7429,109.1,0.326,64.224
225.0,1.5768,1.8226,110.39,0.322,64.227
225.5,1.6255,1.9023,109.31,0.318,64.229
226.0,1.6741,1.9819,103.09,0.315,64.232
226.5,1.7228,2.0615,102.74,0.311,64.235
227.0,1.7716,2.1413,108.39,0.308,64.237
227.5,1.8504,2.2419,112.52,0.304,64.24
228.0,1.9514,2.347,115.72,0.3,64.243
228.5,2.0523,2.4577,116.26,0.297,64.246
229.0,2.1531,2.5964,114.24,0.293,64.248
229.5,2.2538,2.7869,107.98,0.289,64.251
230.0,2.3545,3.0245,106.39,0.285,64.254
230.5,2.455,3.2614,112.89,0.281,64.257
231.0,2.5551,3.5455,119.25,0.277,64.261
231.5,2.6529,3.8589,120.33,0.273,64.268
232.0,2.7795,4.1394,106.53,0.269,64.274
232.5,2.9057,4.2827,98.942,0.265,64.281
233.0,3.0329,4.4202,101.32,0.261,64.287
233.5,3.1603,4.5643,105.88,0.257,64.294
234.0,3.2877,4.6876,109.56,0.254,64.3
234.5,3.4243,4.7464,102.99,0.252,64.307
235.0,3.4898,4.7861,97.531,0.251,64.313
