DEPT,RILD,RILM,GR,SP,FRES,TMP
F,,,,,OHM-M,DEGF
186.0,1.242,1.1415,62.128,-123.26,2.354,60.427
186.5,1.2401,1.1376,67.226,-122.84,2.295,60.442
187.0,1.2383,1.1336,68.299,-122.41,2.235,60.456
187.5,1.2364,1.1297,65.836,-121.98,2.175,60.471
188.0,1.2344,1.1258,62.346,-121.55,2.116,60.486
188.5,1.2346,1.1218,60.017,-121.13,2.056,60.5
189.0,1.2603,1.1129,58.481,-120.7,1.996,60.515
189.5,1.2604,1.1037,53.24,-120.1,1.937,60.53
190.0,1.2604,1.0941,48.667,-119.06,1.877,60.544
190.5,1.2604,1.133,46.365,-118.01,1.817,60.559
191.0,1.2604,1.1745,45.885,-117.02,1.758,60.574
191.5,1.2696,1.2042,44.43,-116.67,1.698,60.588
192.0,1.3042,1.2009,43.662,-116.3,1.638,60.603
192.5,1.3159,1.1976,41.819,-115.93,1.579,60.618
193.0,1.3158,1.1944,44.681,-115.56,1.519,60.632
193.5,1.316,1.1911,51.06,-115.19,1.46,60.647
194.0,1.3012,1.1879,56.16,-114.83,1.4,60.662
194.5,1.2843,1.1846,56.084,-114.54,1.34,60.676
195.0,1.2675,1.1814,55.614,-114.18,1.281,60.691
195.5,1.2506,1.1781,55.438,-113.59,1.221,60.706
196.0,1.2331,1.1773,56.98,-112.94,1.189,60.72
196.5,1.2742,1.1773,56.379,-112.19,1.172,60.735
197.0,1.3171,1.1772,51.055,-111.44,1.155,60.75
197.5,1.3241,1.1951,47.411,-110.69,1.137,60.764
198.0,1.3317,1.2174,48.097,-109.93,1.12,60.779
198.5,1.3394,1.2396,51.026,-109.18,1.102,60.794
199.0,1.3406,1.256,55.258,-108.53,1.085,60.808
199.5,1.3343,1.1855,57.698,-107.99,1.068,60.822
200.0,1.328,1.1912,54.815,-107.45,1.05,60.835
200.5,1.3217,1.2071,52.633,-106.91,1.033,60.848
201.0,1.3159,1.2231,53.235,-106.37,1.015,60.862
201.5,1.3196,1.2391,53.931,-105.83,0.998,60.875
202.0,1.3232,1.2549,55.838,-105.29,0.981,60.888
202.5,1.3268,1.2502,61.366,-104.56,0.963,60.901
203.0,1.3304,1.2347,63.06,-103.42,0.946,60.914
203.5,1.3339,1.2194,56.92,-103.61,0.928,60.927
204.0,1.3375,1.2124,50.183,-103.33,0.911,60.941
204.5,1.3411,1.2281,44.727,-102.13,0.894,60.954
205.0,1.3407,1.2215,45.466,-101.22,0.876,60.967
205.5,1.3324,1.2148,50.137,-101.59,0.859,60.98
206.0,1.3241,1.2081,52.286,-101.95,0.841,60.993
206.5,1.3159,1.2217,50.469,-102.18,0.824,61.011
207.0,1.3158,1.2532,48.886,-102.07,0.807,61.036
207.5,1.3197,1.2847,51.504,-100.8,0.789,61.062
208.0,1.3529,1.3162,56.731,-99.549,0.772,61.088
208.5,1.3855,1.3374,63.004,-97.44,0.754,61.114
209.0,1.3853,1.2822,68.041,-96.766,0.737,61.14
209.5,1.362,1.2279,64.549,-96.608,0.72,61.166
210.0,1.3385,1.1752,59.051,-94.554,0.702,61.191
210.5,1.313,1.1587,58.712,-93.62,0.685,61.217
211.0,1.2875,1.1388,60.11,-93.468,0.668,61.243
211.5,1.2621,1.1044,65.801,-94.668,0.65,61.269
212.0,1.2366,1.0388,69.622,-95.846,0.633,61.295
212.5,1.2112,0.97308,67.994,-97.037,0.615,61.321
213.0,1.1857,0.97051,65.148,-97.027,0.598,61.346
213.5,1.1619,0.99081,64.21,-95.888,0.581,61.372
214.0,1.1388,1.0111,64.103,-94.766,0.563,61.398
214.5,1.1271,1.0313,68.21,-92.567,0.546,61.424
215.0,1.1469,1.0516,73.154,-89.992,0.528,61.45
215.5,1.1667,1.0808,71.969,-89.063,0.511,61.476
216.0,1.1972,1.1347,68.268,-88.169,0.494,61.501
216.5,1.2398,1.1886,67.707,-86.497,0.476,61.527
217.0,1.2824,1.2426,68.145,-84.261,0.436,61.553
217.5,1.325,1.29,67.156,-82.196,0.395,61.579
218.0,1.3677,1.3346,65.351,-79.759,0.354,61.605
218.5,1.4065,1.3793,65.557,-77.236,0.312,61.631
219.0,1.435,1.4245,61.954,-74.712,0.271,61.657
219.5,1.4635,1.3728,56.953,-72.189,0.229,61.682
220.0,1.492,1.4095,56.326,-69.95,0.188,61.708
220.5,1.5206,1.4482,58.211,-68.939,0.147,61.734
221.0,1.5491,1.4869,57.168,-67.759,0.105,61.76
221.5,1.5777,1.4959,54.274,-66.456,0.064,61.786
222.0,1.5785,1.4625,53.865,-65.156,0.022,61.812
