DEPT,RILM,RILD,GR,SP,FRES,TMP
F,,,,,OHMM,DEGF
219.5,4.3007,4.9436,23.9,64.284,7.372,62.465
220.0,4.2566,4.9498,23.728,65.247,7.446,62.468
220.5,4.306,4.9706,24.989,66.211,7.519,62.471
221.0,4.352,4.9914,26.29,67.173,7.592,62.474
221.5,4.3981,5.0123,28.176,68.135,7.665,62.477
222.0,4.4441,5.0331,35.593,69.906,7.738,62.48
222.5,4.4901,5.0538,47.277,72.648,7.811,62.483
223.0,4.5361,5.0963,55.176,76.234,7.884,62.486
223.5,4.5821,5.2009,61.022,77.66,7.957,62.489
224.0,4.6278,5.3064,64.926,77.914,8.03,62.492
224.5,4.8164,5.4964,68.972,78.186,8.103,62.495
225.0,5.1614,5.7472,73.454,78.462,8.155,62.498
225.5,5.4926,5.9976,77.473,79.37,8.182,62.501
226.0,5.8203,6.2479,77.308,80.061,8.209,62.504
226.5,6.1482,6.4982,69.567,79.971,8.236,62.508
227.0,6.4765,6.7483,60.698,79.876,8.256,62.518
227.5,6.739,7.0059,60.208,79.67,8.26,62.527
228.0,6.7365,7.0748,65.976,79.37,8.26,62.537
228.5,6.7211,7.1412,75.713,79.071,8.238,62.547
229.0,6.6354,7.2597,75.653,78.764,8.216,62.556
229.5,6.5523,7.1201,72.114,78.82,8.194,62.566
230.0,6.4754,6.7496,69.786,78.934,8.172,62.576
230.5,6.0207,6.2652,68.001,77.911,8.15,62.585
231.0,5.5254,5.7805,63.916,75.928,8.128,62.595
231.5,5.0477,5.2894,59.799,74.053,8.106,62.614
232.0,4.9073,4.9077,61.038,71.21,7.935,62.639
232.5,4.7589,4.5408,62.811,68.877,7.762,62.665
233.0,4.6098,4.3196,62.729,67.789,7.626,62.691
233.5,4.476,4.2206,59.668,66.858,7.528,62.716
234.0,4.3694,4.121,57.083,65.809,7.487,62.742
234.5,4.2628,4.0556,55.929,65.937,7.206,62.767
235.0,4.1562,4.0007,55.961,67.179,6.634,62.793
235.5,4.0496,3.9458,56.209,68.383,6.062,62.84
236.0,3.943,3.8909,57.043,68.833,5.49,62.887
236.5,3.8365,3.836,57.909,68.572,4.918,62.943
237.0,3.7299,3.7811,57.611,67.842,4.616,63.003
237.5,3.6233,3.7262,55.971,65.424,4.505,63.062
238.0,3.5167,3.6713,53.533,62.277,4.395,63.122
238.5,3.4101,3.6164,51.978,58.96,4.285,63.182
239.0,3.3035,3.5606,52.972,57.112,4.175,63.214
239.5,3.1969,3.459,50.106,55.913,4.065,63.241
240.0,3.0903,3.3281,52.794,55.051,3.954,63.268
240.5,2.9837,3.1977,56.636,55.042,3.844,63.295
241.0,2.8771,3.0674,58.365,54.992,3.789,63.322
241.5,2.7705,2.9369,51.998,54.617,3.774,63.349
242.0,2.6641,2.8062,48.48,54.284,3.759,63.368
242.5,2.5658,2.6941,52.507,52.693,3.743,63.373
243.0,2.5494,2.6373,53.461,50.651,3.769,63.379
243.5,2.5316,2.5805,48.088,47.42,3.799,63.384
244.0,2.5137,2.5236,42.266,44.213,3.829,63.383
244.5,2.4958,2.4667,41.324,43.147,3.859,63.381
245.0,2.4779,2.4098,44.242,44.522,3.893,63.379
245.5,2.46,2.3529,48.361,47.771,3.942,63.377
246.0,2.4421,2.2963,52.48,52.379,3.991,63.375
246.5,2.4242,2.2836,56.634,57.0,4.041,63.373
247.0,2.4063,2.2748,58.702,60.163,4.09,63.371
247.5,2.3883,2.266,59.978,62.034,4.139,63.369
248.0,2.3704,2.2572,59.853,62.345,4.188,63.367
248.5,2.3525,2.2484,59.665,63.368,4.237,63.365
249.0,2.3346,2.2396,58.251,63.082,4.286,63.363
249.5,2.3167,2.2308,57.166,62.882,4.336,63.361
250.0,2.2988,2.222,54.968,62.689,4.385,63.359
250.5,2.2809,2.2132,52.752,61.118,4.434,63.357
251.0,2.263,2.2044,51.558,57.536,4.483,63.355
251.5,2.2451,2.1956,52.159,53.946,4.532,63.353
252.0,2.2272,2.1868,50.273,51.748,4.581,63.351
252.5,2.2093,2.178,48.042,52.222,4.63,63.349
253.0,2.1914,2.1692,48.217,52.663,4.68,63.347
253.5,2.1735,2.1604,49.407,52.802,4.729,63.345
254.0,2.1555,2.1517,49.556,52.636,4.778,63.343
254.5,2.1376,2.1429,49.707,52.967,4.827,63.341
255.0,2.1197,2.1341,51.256,55.859,4.876,63.339
255.5,2.1018,2.1253,53.504,59.066,4.929,63.34
256.0,2.0839,2.1165,57.753,60.286,4.983,63.342
256.5,2.066,2.1077,61.077,59.239,5.037,63.345
257.0,2.0481,2.0989,62.242,57.655,5.091,63.347
257.5,2.0302,2.0901,60.766,56.072,5.138,63.35
258.0,2.0123,2.0813,58.145,54.491,5.154,63.352
258.5,1.9944,2.0725,52.53,53.114,5.171,63.355
259.0,1.9765,2.0637,49.749,52.556,5.187,63.357
259.5,1.9586,2.0549,47.728,52.008,5.203,63.36
260.0,1.9407,2.0461,49.269,51.449,5.22,63.363
260.5,1.9228,2.0373,55.51,52.274,5.236,63.365
261.0,1.9047,2.0285,64.15,55.823,5.252,63.368
261.5,1.8858,2.019,68.752,60.121,5.255,63.37
262.0,1.9505,2.062,70.82,63.814,5.255,63.373
262.5,2.175,2.2053,68.304,66.126,5.255,63.377
263.0,2.4005,2.3492,65.449,66.416,5.255,63.391
263.5,2.6262,2.4926,61.263,66.661,5.255,63.405
264.0,2.8538,2.6468,60.003,66.904,5.245,63.419
264.5,3.1151,2.8106,61.782,67.146,5.211,63.434
265.0,3.0529,2.98,64.04,67.389,5.178,63.448
265.5,2.9938,2.8821,65.81,67.747,5.144,63.462
266.0,2.9359,2.7713,66.407,68.24,5.11,63.476
266.5,2.8783,2.6602,66.416,67.557,5.077,63.491
267.0,2.7447,2.5491,65.345,66.151,5.043,63.505
267.5,2.5288,2.438,61.238,64.666,5.009,63.519
268.0,2.3112,2.3269,56.665,62.801,4.97,63.533
268.5,2.1399,2.2157,54.858,60.24,4.918,63.548
269.0,2.0939,2.1046,54.512,58.579,4.867,63.562
269.5,2.0478,1.9936,51.963,56.911,4.815,63.576
270.0,2.0015,1.8789,49.868,54.805,4.763,63.59
270.5,1.9552,1.8852,51.391,53.573,4.711,63.605
271.0,1.909,1.8958,54.251,53.368,4.659,63.619
271.5,1.8627,1.9065,55.593,53.37,4.607,63.633
272.0,1.8164,1.9172,55.504,53.371,4.555,63.647
272.5,1.7701,1.928,54.786,53.227,4.504,63.662
273.0,1.7238,1.9387,53.753,52.944,4.452,63.676
273.5,1.6774,1.9495,54.067,53.973,4.4,63.69
274.0,1.6309,1.9602,53.968,55.915,4.348,63.704
274.5,1.6003,1.9709,53.998,56.764,4.296,63.719
275.0,1.6129,1.9817,55.224,57.415,4.244,63.733
275.5,1.6253,1.9924,56.91,56.578,4.193,63.747
276.0,1.6377,2.0031,58.529,55.518,4.141,63.761
276.5,1.6501,2.0134,56.267,55.27,4.097,63.776
277.0,1.6625,2.0016,55.265,55.122,4.055,63.79
